name,price,image_url,category_id
JavaScript Deep Dive 1,350.40,https://placehold.co/400x400/065F46/FFFFFF?text=JavaScript%20Deep%20Dive%201,5fa61451-b12d-44fb-863d-9b2c9e9496f0
Hooded Sweatshirt 2,729.24,https://placehold.co/400x400/9A3412/FFFFFF?text=Hooded%20Sweatshirt%202,f51dbd03-8798-4c37-bea0-38e750385ce6
Microwave Oven 3,9331.48,https://placehold.co/400x400/3F3F46/FFFFFF?text=Microwave%20Oven%203,ac13c7a3-f2a1-4f9c-bf71-e4803f2a44da
Football 4,7720.08,https://placehold.co/400x400/7F1D1D/FFFFFF?text=Football%204,ab22bdf7-c260-4beb-b403-cc919cf474ae
Smartphone 5,87512.29,https://placehold.co/400x400/1E3A8A/FFFFFF?text=Smartphone%205,1ea0c0d3-9683-4fe5-b033-0cd94795b40c
Clean Code 6,364.67,https://placehold.co/400x400/065F46/FFFFFF?text=Clean%20Code%206,5fa61451-b12d-44fb-863d-9b2c9e9496f0
Slim Fit Jeans 7,2277.00,https://placehold.co/400x400/9A3412/FFFFFF?text=Slim%20Fit%20Jeans%207,f51dbd03-8798-4c37-bea0-38e750385ce6
Vacuum Cleaner 8,23801.11,https://placehold.co/400x400/3F3F46/FFFFFF?text=Vacuum%20Cleaner%208,ac13c7a3-f2a1-4f9c-bf71-e4803f2a44da
Cricket Bat 9,8429.19,https://placehold.co/400x400/7F1D1D/FFFFFF?text=Cricket%20Bat%209,ab22bdf7-c260-4beb-b403-cc919cf474ae
Smartphone 10,7292.61,https://placehold.co/400x400/1E3A8A/FFFFFF?text=Smartphone%2010,1ea0c0d3-9683-4fe5-b033-0cd94795b40c
System Design Handbook 11,282.36,https://placehold.co/400x400/065F46/FFFFFF?text=System%20Design%20Handbook%2011,5fa61451-b12d-44fb-863d-9b2c9e9496f0
Cotton T-Shirt 12,2106.30,https://placehold.co/400x400/9A3412/FFFFFF?text=Cotton%20T-Shirt%2012,f51dbd03-8798-4c37-bea0-38e750385ce6
Air Fryer 13,76683.05,https://placehold.co/400x400/3F3F46/FFFFFF?text=Air%20Fryer%2013,ac13c7a3-f2a1-4f9c-bf71-e4803f2a44da
Badminton Racket 14,26375.29,https://placehold.co/400x400/7F1D1D/FFFFFF?text=Badminton%20Racket%2014,ab22bdf7-c260-4beb-b403-cc919cf474ae
Smartphone 15,77872.45,https://placehold.co/400x400/1E3A8A/FFFFFF?text=Smartphone%2015,1ea0c0d3-9683-4fe5-b033-0cd94795b40c
JavaScript Deep Dive 16,1166.23,https://placehold.co/400x400/065F46/FFFFFF?text=JavaScript%20Deep%20Dive%2016,5fa61451-b12d-44fb-863d-9b2c9e9496f0
Hooded Sweatshirt 17,1047.65,https://placehold.co/400x400/9A3412/FFFFFF?text=Hooded%20Sweatshirt%2017,f51dbd03-8798-4c37-bea0-38e750385ce6
Microwave Oven 18,28721.89,https://placehold.co/400x400/3F3F46/FFFFFF?text=Microwave%20Oven%2018,ac13c7a3-f2a1-4f9c-bf71-e4803f2a44da
Football 19,12174.18,https://placehold.co/400x400/7F1D1D/FFFFFF?text=Football%2019,ab22bdf7-c260-4beb-b403-cc919cf474ae
Smartphone 20,58774.29,https://placehold.co/400x400/1E3A8A/FFFFFF?text=Smartphone%2020,1ea0c0d3-9683-4fe5-b033-0cd94795b40c
Clean Code 21,1290.42,https://placehold.co/400x400/065F46/FFFFFF?text=Clean%20Code%2021,5fa61451-b12d-44fb-863d-9b2c9e9496f0
Slim Fit Jeans 22,2050.97,https://placehold.co/400x400/9A3412/FFFFFF?text=Slim%20Fit%20Jeans%2022,f51dbd03-8798-4c37-bea0-38e750385ce6
Vacuum Cleaner 23,18127.00,https://placehold.co/400x400/3F3F46/FFFFFF?text=Vacuum%20Cleaner%2023,ac13c7a3-f2a1-4f9c-bf71-e4803f2a44da
Cricket Bat 24,14523.13,https://placehold.co/400x400/7F1D1D/FFFFFF?text=Cricket%20Bat%2024,ab22bdf7-c260-4beb-b403-cc919cf474ae
Smartphone 25,73918.11,https://placehold.co/400x400/1E3A8A/FFFFFF?text=Smartphone%2025,1ea0c0d3-9683-4fe5-b033-0cd94795b40c
System Design Handbook 26,1767.11,https://placehold.co/400x400/065F46/FFFFFF?text=System%20Design%20Handbook%2026,5fa61451-b12d-44fb-863d-9b2c9e9496f0
Cotton T-Shirt 27,1726.58,https://placehold.co/400x400/9A3412/FFFFFF?text=Cotton%20T-Shirt%2027,f51dbd03-8798-4c37-bea0-38e750385ce6
Air Fryer 28,13447.10,https://placehold.co/400x400/3F3F46/FFFFFF?text=Air%20Fryer%2028,ac13c7a3-f2a1-4f9c-bf71-e4803f2a44da
